Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated,Trial start date,Trial completion date
NCT01841632,Liver Transplantation,MultiStem - Cohort 1,MultiStem,,,,,,,,,,2018-08-17,2013-04,2016-12
NCT00320606,Liver Transplant; Liver Transplantation,Immunosuppression Withdrawal Arm,Immunosuppression Withdrawal,,,,,,,,,,2018-09-20,2006-06-05,2017-03-13
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",China Cohort: Durvalumab 20 mg/kg,"Tremelimumab, Durvalumab, Bevacizumab",30.69,13.96,,3.0,,,,,,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",China Cohort: Tremelimumab 1 mg/kg + Durvalumab 20 mg/kg,"Tremelimumab, Durvalumab, Bevacizumab",6.28,0.66,23.82,6.0,,,,,,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",China Cohort: Tremelimumab 10 mg/kg,"Tremelimumab, Durvalumab, Bevacizumab",3.52,2.2,20.96,5.0,,,,,,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Part 1: Tremelimumab 1 mg/kg + Durvalumab 20 mg/kg,"Tremelimumab, Durvalumab, Bevacizumab",12.58,6.87,20.99,40.0,,,,,,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Part 4: Durvalumab 1120 mg + Bevacizumab 15 mg/kg,"Tremelimumab, Durvalumab, Bevacizumab",,12.52,,47.0,,,,,21.3,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Parts 2 and 3: Durvalumab 1500 mg,"Tremelimumab, Durvalumab, Bevacizumab",12.91,8.74,16.79,104.0,,,,,11.5,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Parts 2 and 3: Tremelimumab 300 mg + Durvalumab 1500 mg,"Tremelimumab, Durvalumab, Bevacizumab",17.05,10.55,22.83,75.0,,,,,24.0,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Parts 2 and 3: Tremelimumab 75 mg + Durvalumab 1500 mg,"Tremelimumab, Durvalumab, Bevacizumab",11.3,8.38,14.95,84.0,,,,,9.5,2026-02-17,2015-10-19,2026-04-01
NCT02519348,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Parts 2 and 3: Tremelimumab 750 mg,"Tremelimumab, Durvalumab, Bevacizumab",17.05,11.33,20.24,69.0,,,,,7.2,2026-02-17,2015-10-19,2026-04-01
NCT00183885,"Hepatocellular Carcinoma; Liver Cancer; Carcinoma, Hepatocellular; Liver Neoplasms",Cisplatin + Mitomycin-C,"mitomycin-c, cisplatin",,,,,,,,,,2025-10-30,2004-10-18,2023-03-06
